City,Date,ws,hum,dew,pm25
Beijing,2020-11-11,0.5,74.5,0.0,180.0
Beijing,2020-06-19,2.5,39.5,13.5,74.0
Beijing,2020-07-07,2.0,54.0,15.0,53.0
Beijing,2020-07-29,0.5,85.5,22.0,139.0
Beijing,2020-10-15,1.5,80.0,2.0,87.0
Beijing,2020-07-04,1.5,62.5,18.5,114.0
Beijing,2020-07-26,2.0,67.0,19.0,68.0
Beijing,2020-09-02,2.5,53.0,13.0,55.0
Beijing,2020-09-24,0.5,90.5,15.5,87.0
Beijing,2020-09-25,1.0,82.0,14.5,104.0
Beijing,2020-10-30,1.5,61.5,0.0,142.0
Beijing,2020-04-19,3.6,49.5,6.0,119.0
Beijing,2020-09-13,1.0,73.5,17.0,74.0
Beijing,2020-09-29,2.5,84.5,12.0,42.0
Beijing,2020-10-02,4.6,29.0,0.0,21.0
Beijing,2020-05-05,1.5,67.0,11.0,132.0
Beijing,2020-07-31,1.5,85.5,23.5,102.0
Beijing,2020-08-10,2.0,67.0,20.0,55.0
Beijing,2020-11-13,2.0,39.5,-4.5,70.0
Beijing,2020-11-21,1.0,77.0,-2.0,91.0
Beijing,2020-06-09,1.5,57.0,17.0,112.0
Beijing,2020-07-20,1.0,65.0,19.5,97.0
Beijing,2020-08-31,2.5,82.0,18.5,42.0
Beijing,2020-09-10,2.0,62.0,13.0,25.0
Beijing,2020-09-30,1.5,63.0,9.0,59.0
Beijing,2020-10-05,3.0,30.0,-4.0,21.0
Beijing,2020-04-10,1.0,33.0,-3.0,109.0
Beijing,2020-04-15,2.0,41.0,6.0,153.0
Beijing,2020-06-30,2.0,41.0,14.0,59.0
Beijing,2020-10-14,1.5,29.5,-7.0,34.0
Beijing,2020-04-08,2.0,30.0,-5.0,70.0
Beijing,2020-08-12,1.5,85.5,23.0,95.0
Beijing,2020-09-17,4.1,32.0,4.0,21.0
Beijing,2020-10-07,0.5,81.0,8.5,147.0
Beijing,2020-05-03,1.5,70.5,16.0,153.0
Beijing,2020-05-10,6.6,17.0,-3.5,61.0
Beijing,2020-08-03,1.5,60.0,20.0,63.0
Beijing,2020-10-08,1.0,77.0,8.0,163.0
Beijing,2020-07-27,1.0,94.0,21.0,147.0
Beijing,2020-08-20,1.0,80.5,19.0,63.0
Beijing,2020-10-09,0.5,84.5,11.0,177.0
Beijing,2020-10-31,1.0,37.5,-3.5,160.0
Beijing,2020-09-05,1.0,68.5,15.0,74.0
Beijing,2020-10-27,2.0,25.5,-10.0,30.0
Beijing,2020-11-15,1.0,83.0,2.5,163.0
Beijing,2020-05-26,2.0,30.0,6.5,42.0
Beijing,2020-07-16,1.5,61.0,20.5,122.0
Beijing,2020-11-12,1.5,50.0,1.0,185.0
Beijing,2020-05-08,1.5,87.0,12.0,87.0
Beijing,2020-06-14,4.1,23.0,7.0,25.0
Beijing,2020-10-25,0.5,73.5,3.0,167.0
Beijing,2020-04-26,2.0,27.5,-2.5,50.0
Beijing,2020-09-19,1.5,69.5,9.5,59.0
Beijing,2020-05-21,1.5,63.0,12.0,159.0
Beijing,2020-08-18,2.5,91.0,21.5,59.0
Beijing,2020-08-23,1.0,80.0,19.5,144.0
Beijing,2020-10-03,2.0,49.5,5.5,55.0
Beijing,2020-07-12,1.0,88.0,21.5,163.0
Beijing,2020-07-21,2.5,55.0,20.0,91.0
Beijing,2020-04-28,1.5,39.0,4.5,153.0
Beijing,2020-05-16,1.5,72.0,12.5,117.0
Beijing,2020-08-29,1.0,83.0,22.5,127.0
Beijing,2020-10-26,1.0,39.5,4.0,177.0
Beijing,2020-11-08,3.0,17.0,-12.0,34.0
Beijing,2020-05-02,3.0,59.0,17.0,147.0
Beijing,2020-05-15,2.5,68.0,14.0,114.0
Beijing,2020-06-10,1.5,55.5,17.0,139.0
Beijing,2020-06-16,2.5,35.0,12.0,109.0
Beijing,2020-07-08,1.5,54.0,18.0,91.0
Beijing,2020-08-19,1.5,77.5,18.5,38.0
Beijing,2020-07-02,2.0,67.0,19.5,85.0
Beijing,2020-11-10,1.0,55.0,-5.0,109.0
Beijing,2020-11-23,4.1,33.5,-14.5,53.0
Beijing,2020-04-20,9.2,24.0,-10.5,30.0
Beijing,2020-04-24,6.6,6.5,-11.0,55.0
Beijing,2020-05-22,1.5,54.0,14.0,109.0
Beijing,2020-06-07,1.5,46.0,13.0,87.0
Beijing,2020-07-10,1.0,80.5,19.0,122.0
Beijing,2020-09-20,1.5,41.0,6.5,42.0
Beijing,2020-10-19,1.5,62.5,3.0,144.0
Beijing,2020-04-23,5.6,11.5,-15.0,30.0
Beijing,2020-05-20,2.0,40.0,10.0,53.0
Beijing,2020-05-27,3.0,33.0,6.0,25.0
Beijing,2020-04-07,2.0,28.0,-5.0,122.0
Beijing,2020-08-04,1.0,62.0,20.0,57.0
Beijing,2020-10-22,4.6,18.0,-11.5,38.0
Beijing,2020-06-27,1.0,59.5,19.0,154.0
Beijing,2020-08-02,1.5,63.0,20.5,59.0
Beijing,2020-09-27,0.5,82.5,14.5,152.0
Beijing,2020-11-14,0.5,70.0,2.0,122.0
Beijing,2020-04-03,1.5,16.0,-7.5,50.0
Beijing,2020-05-18,3.6,27.5,1.0,42.0
Beijing,2020-07-05,1.0,75.5,19.0,70.0
Beijing,2020-09-03,3.6,46.5,10.0,25.0
Beijing,2020-10-01,1.5,87.0,13.0,124.0
Beijing,2020-11-07,6.1,14.5,-10.0,85.0
Beijing,2020-04-02,2.0,21.0,-10.5,61.0
Beijing,2020-04-11,2.5,15.5,-9.5,68.0
Beijing,2020-05-24,1.5,40.5,9.0,34.0
Beijing,2020-06-12,1.5,49.5,15.0,91.0
Beijing,2020-09-26,0.5,85.0,15.0,139.0
Beijing,2020-10-18,1.5,71.0,2.0,85.0
Beijing,2020-01-03,0.5,54.0,-11.0,152.0
Beijing,2020-04-01,3.0,13.0,-16.0,21.0
Beijing,2020-05-13,1.5,44.0,9.0,107.0
Beijing,2020-05-31,2.5,49.5,7.5,42.0
Beijing,2020-09-11,2.5,58.5,14.0,21.0
Beijing,2020-06-21,2.5,45.5,17.5,87.0
Beijing,2020-09-01,2.5,56.0,16.0,50.0
Beijing,2020-07-09,1.5,88.0,19.0,85.0
Beijing,2020-07-15,1.5,54.5,19.0,89.0
Beijing,2020-08-01,0.5,76.0,21.5,87.0
Beijing,2020-09-23,0.5,88.0,16.0,95.0
Beijing,2020-04-16,3.0,58.0,5.5,70.0
Beijing,2020-11-16,0.5,65.5,3.0,177.0
Beijing,2020-05-23,2.0,50.0,11.0,21.0
Beijing,2020-08-07,1.0,73.5,22.5,63.0
Beijing,2020-05-28,1.5,50.0,11.5,99.0
Beijing,2020-06-04,3.0,31.0,7.0,42.0
Beijing,2020-06-11,1.5,58.5,17.0,114.0
Beijing,2020-07-13,1.0,83.0,21.0,109.0
Beijing,2020-08-21,1.5,70.5,17.5,70.0
Beijing,2020-08-28,1.5,73.5,19.0,59.0
Beijing,2020-06-25,1.5,83.0,18.5,87.0
Beijing,2020-07-06,1.0,67.0,19.0,61.0
Beijing,2020-07-19,0.5,71.0,19.0,70.0
Beijing,2020-04-25,3.0,16.5,-7.5,42.0
Beijing,2020-05-25,1.5,58.0,11.5,42.0
Beijing,2020-09-07,2.5,57.5,16.0,57.0
Beijing,2020-04-05,1.5,35.5,-4.0,82.0
Beijing,2020-09-22,1.5,65.0,11.5,82.0
Beijing,2020-06-05,2.5,42.5,11.0,50.0
Beijing,2020-10-04,7.7,25.0,-7.0,17.0
Beijing,2020-05-19,2.5,28.0,4.0,55.0
Beijing,2020-06-06,1.5,40.0,12.0,72.0
Beijing,2020-06-26,1.0,75.0,17.5,78.0
Beijing,2020-09-12,2.5,66.0,15.5,42.0
Beijing,2020-08-11,1.0,66.0,22.5,93.0
Beijing,2020-10-28,1.5,49.5,-3.5,59.0
Beijing,2020-04-12,3.0,15.0,-9.5,59.0
Beijing,2020-05-12,5.1,20.5,-2.5,57.0
Beijing,2020-07-01,2.0,57.0,16.5,80.0
Beijing,2020-07-11,0.5,88.0,21.0,163.0
Beijing,2020-07-28,0.5,94.0,22.0,154.0
Beijing,2020-10-16,3.6,23.5,-5.5,30.0
Beijing,2020-03-31,2.0,54.0,4.0,154.0
Beijing,2020-04-09,2.0,40.5,-1.0,97.0
Beijing,2020-06-08,1.5,31.0,12.5,112.0
Beijing,2020-08-30,1.5,78.0,22.0,119.0
Beijing,2020-10-29,0.5,70.0,0.0,104.0
Beijing,2020-06-03,2.0,37.5,10.0,137.0
Beijing,2020-07-23,1.5,52.5,18.5,89.0
Beijing,2020-07-24,1.5,36.0,16.0,78.0
Beijing,2020-04-04,4.1,20.5,-5.5,70.0
Beijing,2020-07-03,1.5,73.0,19.5,127.0
Beijing,2020-08-26,0.5,80.5,22.5,119.0
Beijing,2020-09-06,1.0,77.5,19.0,147.0
Beijing,2020-10-12,1.5,41.5,-1.5,30.0
Beijing,2020-04-22,8.2,12.5,-17.5,30.0
Beijing,2020-09-15,1.5,90.5,17.5,82.0
Beijing,2020-01-05,1.0,76.0,-7.0,154.0
Beijing,2020-05-30,2.0,66.0,16.0,147.0
Beijing,2020-06-28,1.5,51.0,18.0,124.0
Beijing,2020-07-30,1.0,79.0,24.0,134.0
Beijing,2020-11-17,2.0,81.0,7.0,178.0
Beijing,2020-04-18,1.5,39.0,3.0,95.0
Beijing,2020-05-09,1.5,76.5,12.0,95.0
Beijing,2020-08-27,1.5,67.0,22.0,89.0
Beijing,2020-09-21,1.0,72.0,14.0,99.0
Beijing,2020-11-19,4.1,56.0,-2.0,34.0
Beijing,2020-04-06,1.5,36.0,-0.5,157.0
Beijing,2020-04-21,8.7,14.5,-16.0,30.0
Beijing,2020-06-18,2.0,52.0,15.0,76.0
Beijing,2020-09-04,1.5,57.0,13.0,57.0
Beijing,2020-09-16,5.1,27.0,3.0,21.0
Beijing,2020-04-14,1.5,37.5,3.0,158.0
Beijing,2020-08-08,1.5,65.0,20.5,70.0
Beijing,2020-11-06,2.0,48.5,-3.0,155.0
Jieyang,2020-05-16,1.5,79.0,25.0,59.0
Jieyang,2020-07-15,1.5,79.0,25.0,72.0
Jieyang,2020-08-23,2.5,74.0,25.0,70.0
Jieyang,2020-08-31,1.5,70.0,25.0,74.0
Jieyang,2020-11-08,2.5,73.0,18.0,127.0
Jieyang,2020-08-19,2.5,94.0,26.0,50.0
Jieyang,2020-10-31,1.5,64.0,14.0,76.0
Jieyang,2020-05-28,1.5,94.0,24.0,68.0
Jieyang,2020-11-21,2.5,78.0,20.0,68.0
Jieyang,2020-04-27,1.5,56.0,13.0,97.0
Jieyang,2020-05-30,1.5,100.0,25.0,42.0
Jieyang,2020-08-17,0.5,70.0,24.0,72.0
Jieyang,2020-04-02,2.5,72.0,13.0,68.0
Jieyang,2020-05-17,1.5,83.0,23.0,50.0
Jieyang,2020-09-16,1.5,74.0,25.0,55.0
Jieyang,2020-04-16,1.5,73.0,16.0,142.0
Jieyang,2020-05-14,1.5,58.0,18.0,72.0
Jieyang,2020-06-24,2.5,70.0,25.0,38.0
Jieyang,2020-07-22,2.5,78.0,25.0,38.0
Jieyang,2020-07-31,4.6,78.0,24.0,38.0
Jieyang,2020-08-06,2.5,83.0,25.0,50.0
Jieyang,2020-08-29,1.5,74.0,25.0,93.0
Jieyang,2020-11-22,1.5,83.0,21.0,95.0
Jieyang,2020-04-21,2.5,83.0,21.0,82.0
Jieyang,2020-07-19,3.6,70.0,24.0,34.0
Jieyang,2020-10-30,2.5,65.0,17.0,102.0
Jieyang,2020-11-15,1.5,77.0,17.0,80.0
Jieyang,2019-12-30,0.5,100.0,18.0,124.0
Jieyang,2020-04-07,2.5,73.0,14.0,85.0
Jieyang,2020-05-31,0.5,100.0,26.0,57.0
Jieyang,2020-07-12,2.5,66.0,25.0,53.0
Jieyang,2020-10-02,1.5,69.0,21.0,76.0
Jieyang,2020-11-14,2.5,78.0,17.0,102.0
Jieyang,2020-04-25,1.5,72.0,15.0,78.0
Jieyang,2020-07-23,1.5,74.0,26.0,46.0
Jieyang,2020-01-05,2.5,82.0,15.0,82.0
Jieyang,2020-05-02,1.5,62.0,20.0,76.0
Jieyang,2020-07-09,2.5,74.0,26.0,46.0
Jieyang,2020-07-14,1.5,74.0,25.0,70.0
Jieyang,2020-09-22,1.5,74.0,22.0,80.0
Jieyang,2020-11-06,1.5,57.0,16.0,99.0
Jieyang,2020-04-15,1.5,60.0,12.0,137.0
Jieyang,2020-04-19,1.5,73.0,21.0,80.0
Jieyang,2020-05-07,4.6,70.0,24.0,46.0
Jieyang,2020-09-13,1.5,83.0,24.0,53.0
Jieyang,2020-11-07,2.5,54.0,16.0,91.0
Jieyang,2020-05-12,1.5,83.0,23.0,53.0
Jieyang,2020-06-28,2.5,70.0,24.0,34.0
Jieyang,2020-08-28,0.5,79.0,25.0,65.0
Jieyang,2020-09-18,1.5,88.0,26.0,38.0
Jieyang,2020-10-28,2.5,65.0,18.0,82.0
Jieyang,2020-04-12,5.6,45.0,7.0,30.0
Jieyang,2020-05-13,3.6,51.0,18.0,63.0
Jieyang,2020-06-08,1.5,100.0,25.0,25.0
Jieyang,2020-06-21,2.5,70.0,24.0,38.0
Jieyang,2020-06-27,2.5,74.0,25.0,21.0
Jieyang,2020-08-30,1.5,74.0,24.0,70.0
Jieyang,2020-09-25,1.5,73.0,21.0,53.0
Jieyang,2020-04-24,1.5,72.0,14.0,68.0
Jieyang,2020-04-30,1.5,65.0,16.0,102.0
Jieyang,2020-08-03,2.5,83.0,25.0,34.0
Jieyang,2020-11-03,2.5,64.0,16.0,104.0
Jieyang,2020-05-08,3.6,70.0,24.0,34.0
Jieyang,2020-06-18,1.5,83.0,25.0,34.0
Jieyang,2020-07-24,1.5,66.0,25.0,42.0
Jieyang,2020-07-27,2.5,66.0,25.0,38.0
Jieyang,2020-09-08,1.5,94.0,25.0,53.0
Jieyang,2020-11-16,1.5,88.0,19.0,137.0
Jieyang,2020-04-28,1.5,60.0,15.0,85.0
Jieyang,2020-06-06,0.5,94.0,25.0,34.0
Jieyang,2020-06-15,2.5,88.0,26.0,25.0
Jieyang,2020-08-01,2.5,94.0,25.0,30.0
Jieyang,2020-10-04,1.5,74.0,23.0,85.0
Jieyang,2020-11-01,1.5,64.0,16.0,97.0
Jieyang,2020-09-03,1.5,70.0,24.0,114.0
Jieyang,2020-09-19,1.5,88.0,25.0,38.0
Jieyang,2020-10-07,2.5,69.0,19.0,63.0
Jieyang,2020-06-29,3.6,66.0,24.0,30.0
Jieyang,2020-09-14,2.5,78.0,24.0,72.0
Jieyang,2020-09-15,2.5,74.0,24.0,50.0
Jieyang,2020-10-15,2.5,61.0,18.0,65.0
Jieyang,2020-11-02,2.5,73.0,17.0,107.0
Jieyang,2020-11-05,1.5,68.0,14.0,70.0
Jieyang,2020-04-01,1.5,77.0,15.0,55.0
Jieyang,2020-04-04,1.5,93.0,17.0,112.0
Jieyang,2020-04-18,1.5,73.0,19.0,89.0
Jieyang,2020-05-19,2.5,88.0,24.0,46.0
Jieyang,2020-07-16,2.5,70.0,24.0,46.0
Jieyang,2020-07-25,1.5,66.0,25.0,59.0
Jieyang,2020-09-07,1.5,88.0,25.0,80.0
Jieyang,2020-07-17,2.5,70.0,25.0,34.0
Jieyang,2020-10-17,3.6,69.0,19.0,74.0
Jieyang,2020-04-08,1.5,63.0,11.0,68.0
Jieyang,2020-05-18,0.5,94.0,25.0,53.0
Jieyang,2020-06-22,3.6,70.0,25.0,25.0
Jieyang,2020-10-29,2.5,73.0,18.0,78.0
Jieyang,2020-04-29,1.5,73.0,17.0,89.0
Jieyang,2020-07-11,3.6,70.0,24.0,42.0
Jieyang,2020-08-08,1.5,74.0,25.0,42.0
Jieyang,2020-09-24,1.5,73.0,23.0,57.0
Jieyang,2020-10-05,3.6,73.0,22.0,63.0
Jieyang,2020-05-20,3.6,83.0,23.0,65.0
Jieyang,2020-08-27,0.5,94.0,25.0,34.0
Jieyang,2020-01-03,1.5,68.0,14.0,102.0
Jieyang,2020-05-06,3.6,70.0,23.0,53.0
Jieyang,2020-07-20,1.5,66.0,24.0,38.0
Jieyang,2020-10-01,1.5,69.0,20.0,61.0
Jieyang,2020-11-17,1.5,78.0,19.0,104.0
Jieyang,2020-11-20,2.5,83.0,22.0,72.0
Jieyang,2020-11-23,2.5,73.0,18.0,70.0
Jieyang,2020-05-21,1.5,100.0,25.0,53.0
Jieyang,2020-06-11,1.5,79.0,26.0,46.0
Jieyang,2020-08-13,1.5,79.0,25.0,38.0
Jieyang,2020-04-14,1.5,49.0,8.0,99.0
Jieyang,2020-05-10,1.5,83.0,24.0,55.0
Jieyang,2020-06-12,1.5,74.0,24.0,38.0
Jieyang,2020-07-29,2.5,70.0,25.0,55.0
Jieyang,2020-07-05,2.5,74.0,25.0,38.0
Jieyang,2020-09-06,0.5,74.0,23.0,102.0
Jieyang,2020-04-17,1.5,64.0,17.0,80.0
Jieyang,2020-09-23,1.5,83.0,24.0,72.0
Jieyang,2020-10-13,3.6,73.0,20.0,76.0
Jieyang,2020-10-22,4.6,64.0,17.0,70.0
Jieyang,2020-05-25,1.5,83.0,23.0,61.0
Jieyang,2020-06-10,1.5,94.0,26.0,42.0
Jieyang,2020-09-30,2.5,83.0,22.0,68.0
Jieyang,2020-10-08,2.5,65.0,18.0,68.0
Jieyang,2020-08-04,1.5,88.0,25.0,34.0
Jieyang,2020-08-26,1.5,83.0,25.0,50.0
Jieyang,2020-04-03,1.5,100.0,17.0,149.0
Jieyang,2020-04-06,1.5,100.0,14.0,76.0
Jieyang,2020-05-29,2.5,88.0,24.0,82.0
Jieyang,2020-06-20,2.5,66.0,25.0,34.0
Jieyang,2020-10-16,2.5,65.0,19.0,78.0
Jieyang,2020-10-25,1.5,68.0,15.0,78.0
Jieyang,2020-08-02,2.5,83.0,25.0,30.0
Jieyang,2020-08-10,1.5,70.0,24.0,50.0
Jieyang,2020-10-06,2.5,69.0,20.0,72.0
Jieyang,2020-06-30,2.5,74.0,26.0,38.0
Jieyang,2020-09-02,1.5,70.0,26.0,82.0
Jieyang,2020-09-11,1.5,83.0,25.0,59.0
Jieyang,2020-06-01,1.5,94.0,27.0,63.0
Jieyang,2020-07-02,1.5,94.0,27.0,34.0
Jieyang,2020-08-22,0.5,79.0,25.0,78.0
Jieyang,2020-03-31,0.5,93.0,17.0,93.0
Jieyang,2020-05-23,1.5,83.0,22.0,50.0
Jieyang,2020-06-09,1.5,100.0,27.0,46.0
Jieyang,2020-07-01,1.5,88.0,27.0,34.0
Jieyang,2020-07-03,1.5,94.0,26.0,34.0
Jieyang,2020-10-27,2.5,73.0,18.0,76.0
Jieyang,2020-04-10,3.6,72.0,13.0,95.0
Jieyang,2020-05-05,2.5,70.0,22.0,50.0
Jieyang,2020-08-09,2.5,66.0,24.0,38.0
Jieyang,2020-08-16,1.5,74.0,24.0,68.0
Jieyang,2020-10-11,1.5,69.0,19.0,76.0
Jieyang,2020-04-05,1.5,87.0,14.0,82.0
Jieyang,2020-07-28,1.5,70.0,25.0,30.0
Jieyang,2020-08-11,1.5,83.0,26.0,57.0
Jieyang,2020-08-20,0.5,88.0,25.0,76.0
Jieyang,2020-11-13,1.5,57.0,14.0,93.0
Jieyang,2020-05-22,2.5,100.0,23.0,30.0
Jieyang,2020-06-25,2.5,70.0,24.0,30.0
Jieyang,2020-04-13,2.5,38.0,2.0,70.0
Jieyang,2020-04-23,2.5,77.0,16.0,68.0
Jieyang,2020-06-04,3.6,74.0,25.0,38.0
Jieyang,2020-11-11,1.5,56.0,10.0,72.0
Jieyang,2020-05-15,1.5,78.0,24.0,89.0
Jieyang,2020-06-07,1.5,94.0,25.0,38.0
Jieyang,2020-08-14,1.5,79.0,25.0,53.0
Jieyang,2020-09-01,1.5,79.0,25.0,76.0
Jieyang,2020-09-26,3.6,65.0,20.0,61.0
Jieyang,2020-10-24,2.5,49.0,11.0,87.0
Jieyang,2020-01-04,1.5,82.0,15.0,117.0
Jieyang,2020-07-10,3.6,70.0,25.0,30.0
Jieyang,2020-11-09,2.5,56.0,13.0,97.0
Jieyang,2020-11-24,2.5,73.0,17.0,78.0
Jieyang,2020-07-07,2.5,70.0,25.0,34.0
Jieyang,2020-08-24,1.5,83.0,26.0,68.0
Jieyang,2020-10-09,2.5,65.0,17.0,65.0
Jieyang,2020-11-12,1.5,68.0,12.0,76.0
Jieyang,2020-05-03,1.5,69.0,22.0,78.0
Jieyang,2020-06-16,2.5,74.0,24.0,17.0
Jieyang,2020-07-08,3.6,74.0,26.0,42.0
Jieyang,2020-07-30,2.5,66.0,24.0,53.0
Jieyang,2020-10-19,2.5,65.0,18.0,72.0
Jieyang,2020-03-30,1.5,100.0,17.0,151.0
Jieyang,2020-04-11,1.5,88.0,17.0,109.0
Jieyang,2020-06-17,3.6,70.0,24.0,21.0
Jieyang,2020-06-26,2.5,74.0,26.0,25.0
Jieyang,2020-07-26,2.5,62.0,24.0,38.0
Jieyang,2020-08-18,2.5,88.0,24.0,38.0
Jieyang,2020-09-12,1.5,94.0,24.0,53.0
Jieyang,2020-05-01,1.5,57.0,17.0,89.0
Jieyang,2020-08-25,1.5,83.0,25.0,68.0
Jieyang,2020-09-27,3.6,69.0,20.0,68.0
Jieyang,2020-10-03,1.5,74.0,22.0,80.0
Jieyang,2020-10-20,2.5,65.0,18.0,80.0
Jieyang,2020-10-26,1.5,69.0,17.0,72.0
Jieyang,2020-05-27,2.5,94.0,24.0,55.0
Jieyang,2020-06-02,2.5,79.0,26.0,46.0
Jieyang,2020-06-05,2.5,83.0,26.0,34.0
Jieyang,2020-09-05,1.5,74.0,23.0,76.0
Jieyang,2020-10-10,2.5,65.0,18.0,68.0
Jieyang,2020-11-18,0.5,73.0,20.0,72.0
Jieyang,2020-05-04,1.5,74.0,23.0,87.0
Jieyang,2020-07-18,2.5,70.0,24.0,30.0
Jieyang,2020-07-21,1.5,74.0,24.0,59.0
Jieyang,2020-04-20,2.5,78.0,22.0,109.0
Jieyang,2020-06-13,3.6,84.0,27.0,42.0
Jieyang,2020-08-12,2.5,88.0,25.0,30.0
Jieyang,2020-10-18,2.5,69.0,18.0,61.0
Jieyang,2020-11-04,2.5,60.0,13.0,87.0
Jieyang,2020-06-03,2.5,79.0,24.0,34.0
Jieyang,2020-09-21,2.5,78.0,23.0,55.0
Jieyang,2020-04-09,1.5,52.0,9.0,87.0
Jieyang,2020-06-23,2.5,70.0,25.0,30.0
Jieyang,2020-09-10,1.5,94.0,24.0,59.0
Jieyang,2020-09-29,1.5,74.0,22.0,93.0
Jieyang,2020-04-26,1.5,64.0,16.0,107.0
Jieyang,2020-05-09,2.5,74.0,25.0,38.0
Jieyang,2020-08-07,1.5,79.0,25.0,38.0
Jieyang,2020-04-22,3.6,88.0,17.0,59.0
Jieyang,2020-05-26,1.5,94.0,26.0,53.0
Jieyang,2020-09-17,2.5,74.0,25.0,50.0
Jieyang,2020-09-20,2.5,83.0,25.0,55.0
Jieyang,2020-11-10,3.6,52.0,11.0,72.0
Jieyang,2020-05-24,1.5,78.0,23.0,63.0
Jieyang,2020-07-06,2.5,74.0,25.0,25.0
Jieyang,2020-07-13,1.5,70.0,25.0,50.0
Jieyang,2020-08-05,2.5,83.0,26.0,21.0
Jieyang,2020-08-21,1.5,74.0,25.0,85.0
Jieyang,2020-10-23,3.6,43.0,11.0,61.0
Jieyang,2020-07-04,1.5,83.0,26.0,50.0
Jieyang,2020-10-21,4.6,61.0,17.0,70.0
Jieyang,2020-06-14,2.5,88.0,26.0,13.0
Jieyang,2020-06-19,2.5,74.0,25.0,34.0
Jieyang,2020-09-04,3.6,79.0,24.0,85.0
Jieyang,2020-09-09,0.5,88.0,24.0,53.0
Jieyang,2020-10-14,3.6,69.0,19.0,59.0
Jieyang,2020-05-11,2.5,83.0,24.0,68.0
Jieyang,2020-08-15,1.5,78.0,24.0,61.0
Jieyang,2020-09-28,2.5,73.0,20.0,82.0
Jieyang,2020-10-12,3.6,65.0,20.0,82.0
Jieyang,2020-11-19,1.5,88.0,22.0,82.0
Kunming,2020-10-06,4.6,93.0,17.0,34.0
